host_id,host_since,host_location,host_about_tokens,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,license,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1439258,2011-11-24,Singapore,k2 guesthouse designed guests want truly local experience local people experience eating local food local home away home love meeting new people exchanging cultures food language spending time evening work relax glass wine beer weather becomes unbearable read reviews get ask guest book get know heaps great friends across globe also finally airbnb host since 2011 obtained hotel license legally operate singapore short term stays would like take opportunity appreciate faithful long term guests stayed support us years please come back experience new k2 guesthouse south buona vista wed love us k2 guesthouse kay,1,100,99,2,Bukit Merah,51,77,"['email', 'phone']",1,1,S0399,51,0,51,0
1439258,2011-11-24,Singapore,k2 guesthouse designed guests want truly local experience local people experience eating local food local home away home love meeting new people exchanging cultures food language spending time evening work relax glass wine beer weather becomes unbearable read reviews get ask guest book get know heaps great friends across globe also finally airbnb host since 2011 obtained hotel license legally operate singapore short term stays would like take opportunity appreciate faithful long term guests stayed support us years please come back experience new k2 guesthouse south buona vista wed love us k2 guesthouse kay,1,100,99,2,Bukit Merah,51,77,"['email', 'phone']",1,1,S0399,51,0,51,0
1439258,2011-11-24,Singapore,k2 guesthouse designed guests want truly local experience local people experience eating local food local home away home love meeting new people exchanging cultures food language spending time evening work relax glass wine beer weather becomes unbearable read reviews get ask guest book get know heaps great friends across globe also finally airbnb host since 2011 obtained hotel license legally operate singapore short term stays would like take opportunity appreciate faithful long term guests stayed support us years please come back experience new k2 guesthouse south buona vista wed love us k2 guesthouse kay,1,100,99,2,Bukit Merah,51,77,"['email', 'phone']",1,1,S0399,51,0,51,0
1521514,2011-12-20,Singapore,hello elizabeth singapore looking forward hosting lovely little sunny island,0,0,0,2,Central Area,7,8,"['email', 'phone']",1,1,unknown,7,1,6,0
1439258,2011-11-24,Singapore,k2 guesthouse designed guests want truly local experience local people experience eating local food local home away home love meeting new people exchanging cultures food language spending time evening work relax glass wine beer weather becomes unbearable read reviews get ask guest book get know heaps great friends across globe also finally airbnb host since 2011 obtained hotel license legally operate singapore short term stays would like take opportunity appreciate faithful long term guests stayed support us years please come back experience new k2 guesthouse south buona vista wed love us k2 guesthouse kay,1,100,99,2,Bukit Merah,51,77,"['email', 'phone']",1,1,S0399,51,0,51,0
1439258,2011-11-24,Singapore,k2 guesthouse designed guests want truly local experience local people experience eating local food local home away home love meeting new people exchanging cultures food language spending time evening work relax glass wine beer weather becomes unbearable read reviews get ask guest book get know heaps great friends across globe also finally airbnb host since 2011 obtained hotel license legally operate singapore short term stays would like take opportunity appreciate faithful long term guests stayed support us years please come back experience new k2 guesthouse south buona vista wed love us k2 guesthouse kay,1,100,99,2,Bukit Merah,51,77,"['email', 'phone']",1,1,S0399,51,0,51,0
367042,2011-01-29,Singapore,hi name belinda housekeeper would like welcome homestay website accomodation extended stay studies min 3 months business training singapore room rental available min 3month longer room rental depending choice common sharing room family suite standard rooma deluxe room triplet room varies sizes hope give warm home feeling sweet dreams please forgive us meet high expectationswe try best make stay comfortable homestay regards belinda,1,100,100,2,Tampines,2,11,"['email', 'phone']",1,1,unknown,2,0,2,0
1521514,2011-12-20,Singapore,hello elizabeth singapore looking forward hosting lovely little sunny island,0,0,0,2,Central Area,7,8,"['email', 'phone']",1,1,unknown,7,1,6,0
1521514,2011-12-20,Singapore,hello elizabeth singapore looking forward hosting lovely little sunny island,0,0,0,2,Central Area,7,8,"['email', 'phone']",1,1,unknown,7,1,6,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
3926646,2012-10-20,Singapore,hi im john us,0,0,0,2,Chinatown,4,7,"['email', 'phone', 'work_email']",1,1,unknown,4,1,3,0
3926646,2012-10-20,Singapore,hi im john us,0,0,0,2,Chinatown,4,7,"['email', 'phone', 'work_email']",1,1,unknown,4,1,3,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
1439258,2011-11-24,Singapore,k2 guesthouse designed guests want truly local experience local people experience eating local food local home away home love meeting new people exchanging cultures food language spending time evening work relax glass wine beer weather becomes unbearable read reviews get ask guest book get know heaps great friends across globe also finally airbnb host since 2011 obtained hotel license legally operate singapore short term stays would like take opportunity appreciate faithful long term guests stayed support us years please come back experience new k2 guesthouse south buona vista wed love us k2 guesthouse kay,1,100,99,2,Bukit Merah,51,77,"['email', 'phone']",1,1,S0399,51,0,51,0
4360831,2012-12-09,"Barcelona, Spain",easy going flexible friendly happy help whenever,0,0,0,2,unknown,1,3,"['email', 'phone']",1,1,unknown,1,0,1,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
4723385,2013-01-16,Singapore,love eat cook bake since island famed food penang weekends venture try new cafes eating spots ive traveled quite bit mostly around asia enjoy meeting new people prefer road less taken wandering around streets journey important destination yearly resolution travel country ive,2,100,50,2,Novena,1,1,"['email', 'phone']",1,1,unknown,1,0,1,0
5643415,2013-03-26,Singapore,look forward hosting,3,100,0,2,Central Area,1,1,"['email', 'phone']",1,1,unknown,1,1,0,0
3589987,2012-09-17,Singapore,decan travel buffs visited 50 countries lived london years settled back singapore first beautiful property happy meet new friends around world hold lots fun stuff time time clubbing events dj classes gallery exhibition extend guests guests friends,0,0,0,2,Marine Parade,1,5,"['email', 'phone', 'work_email']",1,1,unknown,1,1,0,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
8408341,2013-08-26,Singapore,aim higher go grow deeper,0,0,0,2,Kallang,1,2,"['email', 'phone']",1,1,unknown,1,1,0,0
2413412,2012-05-19,Singapore,managing 88 rooms various budgets types sizes across singapore,2,90,100,2,Kallang,103,182,"['email', 'phone']",1,1,unknown,102,2,100,0
