id,host_id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,name_tokens,description_tokens,neighborhood_overview_tokens
275343,1439258,Bukit Merah,Central Region,1.28986,103.80948,3,1,2.0,1,1,"[""Bed linens"", ""TV"", ""Dedicated workspace"", ""Keypad"", ""Hangers"", ""Clothing storage"", ""Dishes and silverware"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Paid washer \u2013 In building"", ""Cleaning products"", ""Hot water kettle"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Refrigerator"", ""Paid dryer \u2013 In building"", ""Wifi"", ""Lock on bedroom door"", ""Bidet"", ""Elevator"", ""Kitchen"", ""Iron""]",50.0,180,999,180,180,1125,1125,180.0,1125.0,20,0,0,2013-04-20,2022-08-13,4.4,4.16,4.26,4.47,4.42,4.53,4.63,1,0.14,10min walk mrt cozy room window 1,important notes read book br since hdb flat tourists allowed unless valid pass like ipa letter tepbr br cozy comfortable wellrenovated fitted great guests great environmentbr br shared apartment several flatmatesbr 2 common bathrooms 2 toilets separate br 10 min walk redhill mrt take bus direct bus terminal downstairs direct tiong bahru mrtbr near queensway alexandra nus nuh,
275343,1439258,Bukit Merah,Central Region,1.28986,103.80948,3,1,2.0,1,1,"[""Bed linens"", ""TV"", ""Dedicated workspace"", ""Keypad"", ""Hangers"", ""Clothing storage"", ""Dishes and silverware"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Paid washer \u2013 In building"", ""Cleaning products"", ""Hot water kettle"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Refrigerator"", ""Paid dryer \u2013 In building"", ""Wifi"", ""Lock on bedroom door"", ""Bidet"", ""Elevator"", ""Kitchen"", ""Iron""]",50.0,180,999,180,180,1125,1125,180.0,1125.0,20,0,0,2013-04-20,2022-08-13,4.4,4.16,4.26,4.47,4.42,4.53,4.63,1,0.14,10min walk mrt cozy room window 1,important notes read book br since hdb flat tourists allowed unless valid pass like ipa letter tepbr br cozy comfortable wellrenovated fitted great guests great environmentbr br shared apartment several flatmatesbr 2 common bathrooms 2 toilets separate br 10 min walk redhill mrt take bus direct bus terminal downstairs direct tiong bahru mrtbr near queensway alexandra nus nuh,
275344,1439258,Bukit Merah,Central Region,1.28883,103.81113,3,1,2.5,1,1,"[""Bed linens"", ""TV"", ""Dedicated workspace"", ""Hangers"", ""Dishes and silverware"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Paid washer \u2013 In building"", ""Cleaning products"", ""Microwave"", ""Hot water kettle"", ""Smart lock"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Refrigerator"", ""Paid dryer \u2013 In building"", ""Wifi"", ""Lock on bedroom door"", ""Clothing storage: closet and dresser"", ""Bidet"", ""Elevator"", ""Kitchen"", ""Iron""]",50.0,180,999,180,180,1125,1125,180.0,1125.0,16,0,0,2012-04-26,2023-08-16,4.27,4.44,4.06,4.5,4.5,4.63,4.13,1,0.11,15 mins outram mrt single room 2,lovely home special guest,bus stop br food center br supermarket
294281,1521514,Newton,Central Region,1.31142,103.83924,3,2,1.0,2,1,"[""Shampoo"", ""Bed linens"", ""Private patio or balcony"", ""Oven"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Microwave"", ""Free street parking"", ""Park view"", ""Long term stays allowed"", ""Cooking basics"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Wifi"", ""Washer"", ""Kitchen"", ""Iron""]",85.0,92,1125,92,92,1125,1125,92.0,1125.0,131,0,0,2012-01-28,2020-01-21,4.43,4.33,4.16,4.5,4.66,4.52,4.39,2,0.85,5 mins walk newton subway,3 bedrooms charming british style townhouse family visiting singapore green room br httpswwwairbnbcoukrooms294281 br sure look 2 rooms br br burgundy roomhttpswwwairbnbcoukrooms369141 br blue room httpswwwairbnbcoukrooms369145,
324945,1439258,Bukit Merah,Central Region,1.28828,103.8102,3,1,2.0,1,1,"[""Bed linens"", ""TV"", ""Dedicated workspace"", ""Clothing storage"", ""Dishes and silverware"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Paid washer \u2013 In building"", ""Smart lock"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Refrigerator"", ""Paid dryer \u2013 In building"", ""Wifi"", ""Lock on bedroom door"", ""Bidet"", ""Kitchen"", ""Iron""]",65.0,180,999,180,180,1125,1125,180.0,1125.0,17,0,0,2012-07-08,2023-09-01,3.5,3.47,3.94,4.53,4.06,3.82,3.76,2,0.11,comfortable room wstudy area redhill mrt 6,important notes read book br since hdb flat tourists allowed unless valid pass like ipa letter tepbr br cozy comfortable wellrenovated fitted great guests great environment great hostbr br shared apartment several flatmatesbr 2 common bathrooms 2 toilets separate br br 10 min walk redhill mrt take bus direct bus terminal downstairs direct tiong bahru mrtbr br near queensway alexandra nus nuh,
330095,1439258,Bukit Merah,Central Region,1.28636,103.81138,3,1,2.0,1,1,"[""Shampoo"", ""Bed linens"", ""TV"", ""Dedicated workspace"", ""Hangers"", ""Clothing storage"", ""Dishes and silverware"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Drying rack for clothing"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Paid washer \u2013 In building"", ""Freezer"", ""Hot water kettle"", ""Smart lock"", ""Induction stove"", ""Long term stays allowed"", ""Cooking basics"", ""Self check-in"", ""Air conditioning"", ""Hot water"", ""Refrigerator"", ""Paid dryer \u2013 In building"", ""Wifi"", ""Lock on bedroom door"", ""Bidet"", ""Elevator"", ""Kitchen"", ""Iron""]",45.0,180,365,180,180,1125,1125,180.0,1125.0,5,0,0,2014-06-01,2023-09-02,3.8,3.8,4.0,4.2,4.8,3.8,4.0,1,0.04,relaxing mini room near redhill mrtnowindow 4,important notes read book br since hdb flat tourists allowed unless valid pass like ipa letter tepbr br cozy comfortable orange window room wellrenovated fitted great guests great environmentbr br shared apartment several flatmatesbr 2 common bathrooms 2 toilets separate br br 10 min walk redhill mrt take bus direct bus terminal downstairs direct tiong bahru mrt near queensway nus nuh,near ikea alexandra singapore food markets convenience stores
344803,367042,Tampines,East Region,1.34917,103.9609,3,1,1.5,1,1,"[""Body soap"", ""Shampoo"", ""Bed linens"", ""Private backyard \u2013 Fully fenced"", ""Tecno gas stove"", ""TV"", ""Dedicated workspace"", ""Oven"", ""Keypad"", ""Hangers"", ""Outdoor dining area"", ""Dishes and silverware"", ""Garden view"", ""Room-darkening shades"", ""Drying rack for clothing"", ""Extra pillows and blankets"", ""Cleaning products"", ""Microwave"", ""Outdoor kitchen"", ""Shower gel"", ""BBQ grill"", ""AC - split type ductless system"", ""Cooking basics"", ""Self check-in"", ""Hot water"", ""Free washer \u2013 In unit"", ""High chair"", ""Paid parking off premises"", ""Children\u2019s books and toys"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Wifi"", ""Free parking on premises"", ""Lock on bedroom door"", ""Bathtub"", ""Outdoor shower"", ""Bidet"", ""Coffee maker"", ""Outdoor furniture"", ""Dryer"", ""Free street parking"", ""Kitchen"", ""Fire pit"", ""Iron""]",45.0,92,365,92,92,1125,1125,92.0,1125.0,60,0,0,2012-03-13,2023-08-01,4.6,4.59,4.46,4.76,4.58,4.66,4.44,1,0.39,budget short stay room near expo,direct bus 24 airport placewalking distance expodowntown line3 east west linegreen line,quiet place near airport hear airplane sound
369141,1521514,Newton,Central Region,1.31144,103.83784,3,2,1.0,1,1,"[""Shampoo"", ""Bed linens"", ""TV"", ""Oven"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Microwave"", ""Free street parking"", ""Long term stays allowed"", ""Cooking basics"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Wifi"", ""Lock on bedroom door"", ""Washer"", ""Kitchen"", ""Iron""]",79.0,92,180,92,92,180,180,92.0,180.0,81,0,0,2013-10-03,2020-01-04,4.43,4.45,4.41,4.71,4.76,4.64,4.55,2,0.61,5mins newton train station,room charming british style townhouse family visiting singapore,want charming airbnb homestay truly local experiencebr avid traveller started travelling age 12 years old joy host travellers cosy home share travel talesbr looking unique classic “ airbnb ” home stay accommodation beaten track yet super convenient location stop herebr br would love hear little bit connect youbr br travelled singaporean share ins outs local scene bring home unique experience homebr br someone share meal together relax chat glass wine cleaner comes around weekly ensure house always clean tidy cleaning charges covered rentbr br join aruan park rustic unique adventurous nostalgic homebr cosy spacious room attached patio facing nice park
369145,1521514,Newton,Central Region,1.31129,103.83788,3,2,1.0,2,1,"[""Bed linens"", ""Oven"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Microwave"", ""Washer"", ""TV with standard cable"", ""Cooking basics"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Wifi"", ""Free street parking"", ""Kitchen"", ""Iron""]",70.0,92,1125,92,92,1125,1125,92.0,1125.0,163,0,0,2012-04-12,2020-01-10,4.39,4.31,4.12,4.65,4.67,4.6,4.32,2,1.07,5 mins walk newton mrt,,want charming airbnb homestay truly local experiencebr avid traveller started travelling age 12 years old joy host travellers cosy home share travel talesbr looking unique classic “ airbnb ” home stay accommodation beaten track yet super convenient location stop herebr br would love hear little bit connect youbr br travelled singaporean share ins outs local scene bring home unique experience homebr br someone share meal together relax chat glass wine cleaner comes around weekly ensure house always clean tidy cleaning charges covered rentbr br join rustic unique adventurous nostalgic homebr cosy spacious room facing nice park charming british style townhouse
654191,2413412,Kallang,Central Region,1.31221,103.85832,3,1,1.0,1,1,"[""Private living room"", ""Bed linens"", ""Heating"", ""Private entrance"", ""Oven"", ""Hangers"", ""Dishes and silverware"", ""Extra pillows and blankets"", ""Luggage dropoff allowed"", ""Microwave"", ""TV with standard cable"", ""Long term stays allowed"", ""Pool"", ""Cooking basics"", ""Air conditioning"", ""Hot water"", ""Stove"", ""Essentials"", ""Refrigerator"", ""Hair dryer"", ""Wifi"", ""Single level home"", ""Free parking on premises"", ""Lock on bedroom door"", ""Dryer"", ""Washer"", ""Kitchen"", ""Iron""]",55.0,92,365,92,92,365,365,92.0,365.0,3,0,0,2012-08-26,2016-08-30,3.0,3.67,3.33,3.67,4.0,3.67,2.33,1,0.02,partialensuite bedroomliving room farrerpark,rooms features includebr personal livingroom space fullsize fridgebr lockable bedroom fully private aircon br private shower cubicle wash basinbr queenbed study table chair tvbr basic bedsheet towelbr free wifi access 1gbpsbr wc outside room,apartment within area petain roadkitchener link 5 mins walk farrer park mrt city sq mall br enjoy convenience city square malls cinemasmovies supermarkets food varieties endless shopping fringe town proximity everything access two mrt lines farrer park mrt purple line 8 mins walk lavender mrt green line br 14 stations away little india dhoby gaut chinatown somerset bras basah clarke quay esplanade orchard city hall raffles place bugis kallang br 15 mins walk amenities 24hr food centres shopping centre mustafa supermarket etc 10 mins bus cbd city area
