id,has_availability,availability_30,availability_60,availability_90,availability_365
275343,1,0,0,0,56
275343,1,0,0,0,56
275344,1,0,0,0,56
294281,1,30,60,90,365
324945,1,0,0,0,56
330095,1,0,0,0,56
344803,1,16,42,72,347
369141,1,30,60,90,365
369145,1,30,60,90,365
654191,1,28,58,88,363
747813,1,23,53,83,358
747816,1,30,60,90,365
765579,1,25,55,85,360
815685,1,0,0,0,56
833289,1,30,60,90,365
863139,1,30,60,90,365
881253,1,0,24,54,329
915275,1,0,24,54,329
962594,1,28,58,88,363
982909,1,26,56,86,266
1024986,1,29,29,29,273
1242205,1,29,29,29,178
1249555,1,30,60,90,365
1261443,1,0,24,54,329
1363204,1,0,24,54,329
1508829,1,0,24,54,329
1581224,1,30,60,90,365
1615074,1,0,24,54,329
1678744,1,25,53,83,358
1678755,1,26,56,86,361
1710048,1,0,24,54,329
1941719,1,23,53,83,358
2156372,1,0,0,13,288
2387715,1,28,58,88,363
2387730,1,30,60,90,365
2547778,1,19,49,79,354
2922184,1,0,0,0,0
3667894,1,0,24,54,329
4192138,1,0,0,21,296
4271250,1,0,0,2,201
4441346,1,0,0,0,0
4499317,1,19,49,79,352
4541072,1,0,0,0,222
4541183,1,22,52,82,357
4561032,1,0,24,54,329
4712676,1,0,0,21,296
4731060,1,27,57,87,362
4741630,1,28,58,88,363
4863317,1,25,55,85,360
4869221,1,0,24,54,329
4926170,1,13,29,59,334
4973227,1,23,52,82,357
4988467,1,28,58,88,363
4989903,1,30,60,90,365
5040689,1,0,25,55,330
5052014,1,16,46,76,351
5116961,1,23,53,83,264
5233415,1,28,58,88,363
5253599,1,30,60,90,365
5339318,1,30,60,90,365
5446857,1,28,58,88,363
5448209,1,29,59,89,364
5494971,1,0,0,0,178
5494971,1,0,0,0,178
5529062,1,30,60,90,365
5551665,1,0,25,55,330
5573458,1,29,59,89,364
5582645,1,23,53,83,358
5582645,1,23,53,83,358
5634851,1,0,0,25,300
5698633,1,30,60,90,91
5798211,1,30,60,90,365
5827713,1,0,0,22,297
5889741,1,2,2,2,171
5919270,1,30,60,90,365
6020248,1,0,25,55,330
6261313,1,30,60,90,365
6300577,1,30,60,90,365
6317686,1,0,24,54,329
6352827,1,30,60,90,190
6453321,1,29,59,89,364
6453321,1,29,59,89,364
6481052,1,30,60,90,362
6529707,1,0,0,7,282
6547248,1,30,60,90,365
6603464,1,29,59,89,364
6620261,1,30,60,90,181
6803701,1,29,59,89,364
6959265,1,29,59,89,364
7156419,1,0,0,10,137
7162659,1,0,0,16,16
7250803,1,30,60,90,365
7321238,1,0,0,24,177
7398096,1,30,60,90,91
7399281,1,29,59,89,179
7486446,1,16,46,76,351
7653937,1,0,24,54,329
7667016,1,0,24,54,329
7720994,1,29,59,89,364
7905972,1,30,60,90,365
7927886,1,0,0,0,269
7946472,1,30,60,90,365
7994039,1,0,24,54,329
8004063,1,0,24,54,329
8007663,1,0,24,54,329
8017511,1,30,60,90,365
8038199,1,9,33,59,333
8111607,1,0,26,56,331
8113569,1,21,51,81,356
8113712,1,0,24,54,329
8113893,1,0,0,23,298
8113936,1,0,0,5,280
8114003,1,0,0,26,301
8195397,1,30,60,90,365
8196180,1,30,60,90,365
